model_id,pack,condition,id,token_match,answer_text_match
ai2_olmo,A,A,oi_conf_0045.ROLE_B,True,True
ai2_olmo,A,A,oi_conf_0045.ROLE_A,True,True
ai2_olmo,A,A,oi_conf_0036.ROLE_B,True,True
ai2_olmo,A,A,oi_conf_0036.ROLE_A,True,True
ai2_olmo,A,A,oi_conf_0027.ROLE_B,True,True
ai2_olmo,A,A,oi_conf_0027.ROLE_A,True,True
ai2_olmo,A,A,oi_conf_0018.ROLE_B,True,True
ai2_olmo,A,A,oi_conf_0018.ROLE_A,True,True
ai2_olmo,A,A,oi_conf_0009.ROLE_B,True,True
ai2_olmo,A,A,oi_conf_0009.ROLE_A,True,True
ai2_olmo,A,A,oi_conf_0000.ROLE_B,True,True
ai2_olmo,A,A,oi_conf_0000.ROLE_A,True,True
ai2_olmo,A,B,oi_conf_0045.ROLE_B,True,True
ai2_olmo,A,B,oi_conf_0045.ROLE_A,True,True
ai2_olmo,A,B,oi_conf_0036.ROLE_B,True,True
ai2_olmo,A,B,oi_conf_0036.ROLE_A,True,True
ai2_olmo,A,B,oi_conf_0027.ROLE_B,True,True
ai2_olmo,A,B,oi_conf_0027.ROLE_A,True,True
ai2_olmo,A,B,oi_conf_0018.ROLE_B,True,True
ai2_olmo,A,B,oi_conf_0018.ROLE_A,True,True
ai2_olmo,A,B,oi_conf_0009.ROLE_B,True,True
ai2_olmo,A,B,oi_conf_0009.ROLE_A,True,True
ai2_olmo,A,B,oi_conf_0000.ROLE_B,True,True
ai2_olmo,A,B,oi_conf_0000.ROLE_A,True,True
ai2_olmo,A,C,oi_conf_0045.ROLE_B,True,True
ai2_olmo,A,C,oi_conf_0045.ROLE_A,True,True
ai2_olmo,A,C,oi_conf_0036.ROLE_B,True,True
ai2_olmo,A,C,oi_conf_0036.ROLE_A,True,True
ai2_olmo,A,C,oi_conf_0027.ROLE_B,True,True
ai2_olmo,A,C,oi_conf_0027.ROLE_A,True,True
ai2_olmo,A,C,oi_conf_0018.ROLE_B,True,True
ai2_olmo,A,C,oi_conf_0018.ROLE_A,True,True
ai2_olmo,A,C,oi_conf_0009.ROLE_B,True,True
ai2_olmo,A,C,oi_conf_0009.ROLE_A,True,True
ai2_olmo,A,C,oi_conf_0000.ROLE_B,True,True
ai2_olmo,A,C,oi_conf_0000.ROLE_A,True,True
ai2_olmo,A,D,oi_conf_0045.ROLE_B,True,True
ai2_olmo,A,D,oi_conf_0045.ROLE_A,True,True
ai2_olmo,A,D,oi_conf_0036.ROLE_B,True,True
ai2_olmo,A,D,oi_conf_0036.ROLE_A,True,True
ai2_olmo,A,D,oi_conf_0027.ROLE_B,True,True
ai2_olmo,A,D,oi_conf_0027.ROLE_A,True,True
ai2_olmo,A,D,oi_conf_0018.ROLE_B,True,True
ai2_olmo,A,D,oi_conf_0018.ROLE_A,True,True
ai2_olmo,A,D,oi_conf_0009.ROLE_B,True,True
ai2_olmo,A,D,oi_conf_0009.ROLE_A,True,True
ai2_olmo,A,D,oi_conf_0000.ROLE_B,True,True
ai2_olmo,A,D,oi_conf_0000.ROLE_A,True,True
ai2_olmo,A,E,oi_conf_0045.ROLE_B,True,True
ai2_olmo,A,E,oi_conf_0045.ROLE_A,True,True
ai2_olmo,A,E,oi_conf_0036.ROLE_B,True,True
ai2_olmo,A,E,oi_conf_0036.ROLE_A,True,True
ai2_olmo,A,E,oi_conf_0027.ROLE_B,True,True
ai2_olmo,A,E,oi_conf_0027.ROLE_A,True,True
ai2_olmo,A,E,oi_conf_0018.ROLE_B,True,True
ai2_olmo,A,E,oi_conf_0018.ROLE_A,True,True
ai2_olmo,A,E,oi_conf_0009.ROLE_B,True,True
ai2_olmo,A,E,oi_conf_0009.ROLE_A,True,True
ai2_olmo,A,E,oi_conf_0000.ROLE_B,True,True
ai2_olmo,A,E,oi_conf_0000.ROLE_A,True,True
ai2_olmo,B,C,oi_conf_0045.ROLE_B,True,True
ai2_olmo,B,C,oi_conf_0045.ROLE_A,True,True
ai2_olmo,B,C,oi_conf_0036.ROLE_B,True,True
ai2_olmo,B,C,oi_conf_0036.ROLE_A,True,True
ai2_olmo,B,C,oi_conf_0027.ROLE_B,True,True
ai2_olmo,B,C,oi_conf_0027.ROLE_A,True,True
ai2_olmo,B,C,oi_conf_0018.ROLE_B,True,True
ai2_olmo,B,C,oi_conf_0018.ROLE_A,True,True
ai2_olmo,B,C,oi_conf_0009.ROLE_B,True,True
ai2_olmo,B,C,oi_conf_0009.ROLE_A,True,True
ai2_olmo,B,C,oi_conf_0000.ROLE_B,True,True
ai2_olmo,B,C,oi_conf_0000.ROLE_A,True,True
ai2_olmo,B,D,oi_conf_0045.ROLE_B,True,True
ai2_olmo,B,D,oi_conf_0045.ROLE_A,True,True
ai2_olmo,B,D,oi_conf_0036.ROLE_B,True,True
ai2_olmo,B,D,oi_conf_0036.ROLE_A,True,True
ai2_olmo,B,D,oi_conf_0027.ROLE_B,True,True
ai2_olmo,B,D,oi_conf_0027.ROLE_A,True,True
ai2_olmo,B,D,oi_conf_0018.ROLE_B,True,True
ai2_olmo,B,D,oi_conf_0018.ROLE_A,True,True
ai2_olmo,B,D,oi_conf_0009.ROLE_B,True,True
ai2_olmo,B,D,oi_conf_0009.ROLE_A,True,True
ai2_olmo,B,D,oi_conf_0000.ROLE_B,True,True
ai2_olmo,B,D,oi_conf_0000.ROLE_A,True,True
