id,pair_id,model_id,prompt_mode,controller,domain,difficulty,correct,has_max_call,has_min_call,has_expected_call,has_unexpected_call,has_mixed_calls
cf_0000.self,cf_0000,qwen25_math7b,bellman,self,abstract_game,1,False,True,False,True,False,False
cf_0000.opponent,cf_0000,qwen25_math7b,bellman,opponent,abstract_game,1,False,False,False,False,False,False
cf_0001.self,cf_0001,qwen25_math7b,bellman,self,cyber_defense,1,True,True,False,True,False,False
cf_0001.opponent,cf_0001,qwen25_math7b,bellman,opponent,cyber_defense,1,True,False,False,False,False,False
cf_0002.self,cf_0002,qwen25_math7b,bellman,self,tool_agent,1,True,False,False,False,False,False
cf_0002.opponent,cf_0002,qwen25_math7b,bellman,opponent,tool_agent,1,True,False,False,False,False,False
cf_0003.self,cf_0003,qwen25_math7b,bellman,self,logistics,1,True,True,False,True,False,False
cf_0003.opponent,cf_0003,qwen25_math7b,bellman,opponent,logistics,1,True,False,False,False,False,False
cf_0004.self,cf_0004,qwen25_math7b,bellman,self,exploration,1,True,False,False,False,False,False
cf_0004.opponent,cf_0004,qwen25_math7b,bellman,opponent,exploration,1,True,False,False,False,False,False
cf_0005.self,cf_0005,qwen25_math7b,bellman,self,resource_game,1,True,True,False,True,False,False
cf_0005.opponent,cf_0005,qwen25_math7b,bellman,opponent,resource_game,1,False,False,False,False,False,False
cf_0006.self,cf_0006,qwen25_math7b,bellman,self,abstract_game,2,True,True,False,True,False,False
cf_0006.opponent,cf_0006,qwen25_math7b,bellman,opponent,abstract_game,2,False,False,False,False,False,False
cf_0007.self,cf_0007,qwen25_math7b,bellman,self,cyber_defense,2,True,False,False,False,False,False
cf_0007.opponent,cf_0007,qwen25_math7b,bellman,opponent,cyber_defense,2,True,False,False,False,False,False
cf_0008.self,cf_0008,qwen25_math7b,bellman,self,tool_agent,2,True,True,False,True,False,False
cf_0008.opponent,cf_0008,qwen25_math7b,bellman,opponent,tool_agent,2,False,False,True,True,False,False
cf_0009.self,cf_0009,qwen25_math7b,bellman,self,logistics,2,True,True,False,True,False,False
cf_0009.opponent,cf_0009,qwen25_math7b,bellman,opponent,logistics,2,False,True,False,False,True,False
cf_0010.self,cf_0010,qwen25_math7b,bellman,self,exploration,2,False,True,False,True,False,False
cf_0010.opponent,cf_0010,qwen25_math7b,bellman,opponent,exploration,2,False,False,False,False,False,False
cf_0011.self,cf_0011,qwen25_math7b,bellman,self,resource_game,2,True,False,False,False,False,False
cf_0011.opponent,cf_0011,qwen25_math7b,bellman,opponent,resource_game,2,True,True,False,False,True,False
cf_0012.self,cf_0012,qwen25_math7b,bellman,self,abstract_game,3,True,False,False,False,False,False
cf_0012.opponent,cf_0012,qwen25_math7b,bellman,opponent,abstract_game,3,False,True,False,False,True,False
cf_0013.self,cf_0013,qwen25_math7b,bellman,self,cyber_defense,3,True,False,False,False,False,False
cf_0013.opponent,cf_0013,qwen25_math7b,bellman,opponent,cyber_defense,3,False,False,True,True,False,False
cf_0014.self,cf_0014,qwen25_math7b,bellman,self,tool_agent,3,True,False,False,False,False,False
cf_0014.opponent,cf_0014,qwen25_math7b,bellman,opponent,tool_agent,3,False,False,True,True,False,False
cf_0015.self,cf_0015,qwen25_math7b,bellman,self,logistics,3,True,False,False,False,False,False
cf_0015.opponent,cf_0015,qwen25_math7b,bellman,opponent,logistics,3,False,False,False,False,False,False
cf_0016.self,cf_0016,qwen25_math7b,bellman,self,exploration,3,False,False,False,False,False,False
cf_0016.opponent,cf_0016,qwen25_math7b,bellman,opponent,exploration,3,False,False,False,False,False,False
cf_0017.self,cf_0017,qwen25_math7b,bellman,self,resource_game,3,True,True,False,True,False,False
cf_0017.opponent,cf_0017,qwen25_math7b,bellman,opponent,resource_game,3,False,False,True,True,False,False
cf_0018.self,cf_0018,qwen25_math7b,bellman,self,abstract_game,1,True,True,False,True,False,False
cf_0018.opponent,cf_0018,qwen25_math7b,bellman,opponent,abstract_game,1,True,False,False,False,False,False
cf_0019.self,cf_0019,qwen25_math7b,bellman,self,cyber_defense,1,True,False,False,False,False,False
cf_0019.opponent,cf_0019,qwen25_math7b,bellman,opponent,cyber_defense,1,True,False,False,False,False,False
cf_0020.self,cf_0020,qwen25_math7b,bellman,self,tool_agent,1,False,True,False,True,False,False
cf_0020.opponent,cf_0020,qwen25_math7b,bellman,opponent,tool_agent,1,True,False,False,False,False,False
cf_0021.self,cf_0021,qwen25_math7b,bellman,self,logistics,1,False,True,False,True,False,False
cf_0021.opponent,cf_0021,qwen25_math7b,bellman,opponent,logistics,1,True,False,False,False,False,False
cf_0022.self,cf_0022,qwen25_math7b,bellman,self,exploration,1,True,False,False,False,False,False
cf_0022.opponent,cf_0022,qwen25_math7b,bellman,opponent,exploration,1,False,False,False,False,False,False
cf_0023.self,cf_0023,qwen25_math7b,bellman,self,resource_game,1,False,False,False,False,False,False
cf_0023.opponent,cf_0023,qwen25_math7b,bellman,opponent,resource_game,1,True,False,False,False,False,False
cf_0024.self,cf_0024,qwen25_math7b,bellman,self,abstract_game,2,True,False,False,False,False,False
cf_0024.opponent,cf_0024,qwen25_math7b,bellman,opponent,abstract_game,2,False,False,False,False,False,False
cf_0025.self,cf_0025,qwen25_math7b,bellman,self,cyber_defense,2,False,True,False,True,False,False
cf_0025.opponent,cf_0025,qwen25_math7b,bellman,opponent,cyber_defense,2,True,False,False,False,False,False
cf_0026.self,cf_0026,qwen25_math7b,bellman,self,tool_agent,2,True,False,False,False,False,False
cf_0026.opponent,cf_0026,qwen25_math7b,bellman,opponent,tool_agent,2,True,True,False,False,True,False
cf_0027.self,cf_0027,qwen25_math7b,bellman,self,logistics,2,True,True,False,True,False,False
cf_0027.opponent,cf_0027,qwen25_math7b,bellman,opponent,logistics,2,False,True,False,False,True,False
cf_0028.self,cf_0028,qwen25_math7b,bellman,self,exploration,2,True,True,False,True,False,False
