case_id,elapsed_seconds,intervention_pair_id,kind,model_id,model_revision,optimal_action,output_token_ids,prompt_sha256,source_id,text,variant,prediction,correct
google_gemma.oi_conf_0002.ROLE_A.correction.original,13.399201393127441,google_gemma.oi_conf_0002.ROLE_A.correction,correction,google_gemma,local-tree-c4429aafa092479ea1af0faf2b9be090d6fe2f214d3a31c9003b95a0aeca3ddd,ACTION_Q,"[235282, 235281, 6451, 1192, 235309, 9766, 2314, 9330, 22226, 235298, 235295, 8332, 14031, 235298, 1869, 9330, 235290, 235324, 16406, 9766, 2314, 9330, 22226, 235298, 235368, 8332, 14031, 235298, 1869, 9330, 235315, 12990, 134972, 4679, 235298, 2314, 9330, 22226, 235298, 235368, 12990, 1]",5b7cccc6499e3774a4cf48039fbdbf5e66f49fa40cb5557a680b52a7cd3afe92,oi_conf_0002.ROLE_A,"{""actions"":[{""action"":""ACTION_P"",""expected_value"":""-7""},{""action"":""ACTION_Q"",""expected_value"":""9""}],""final_action"":""ACTION_Q""}",original,ACTION_Q,True
google_gemma.oi_conf_0002.ROLE_A.correction.modified,11.26220989227295,google_gemma.oi_conf_0002.ROLE_A.correction,correction,google_gemma,local-tree-c4429aafa092479ea1af0faf2b9be090d6fe2f214d3a31c9003b95a0aeca3ddd,ACTION_Q,"[235282, 235281, 6451, 1192, 235309, 9766, 2314, 9330, 22226, 235298, 235295, 8332, 14031, 235298, 1869, 9330, 235290, 235324, 16406, 9766, 2314, 9330, 22226, 235298, 235368, 8332, 14031, 235298, 1869, 9330, 235310, 235281, 12765, 1985, 4679, 235298, 2314, 9330, 22226, 235298, 235368, 12990, 1]",aecefef08a7f134452fea1a7d779d037490f0a5ba45cb0990c425d57e7eeb24f,oi_conf_0002.ROLE_A,"{""actions"":[{""action"":""ACTION_P"",""expected_value"":""-7""},{""action"":""ACTION_Q"",""expected_value"":""4""}],""final_action"":""ACTION_Q""}",modified,ACTION_Q,True
google_gemma.oi_conf_0010.ROLE_A.correction.original,11.53155517578125,google_gemma.oi_conf_0010.ROLE_A.correction,correction,google_gemma,local-tree-c4429aafa092479ea1af0faf2b9be090d6fe2f214d3a31c9003b95a0aeca3ddd,ACTION_Q,"[235282, 235281, 6451, 1192, 235309, 9766, 2314, 9330, 22226, 235298, 235368, 8332, 14031, 235298, 1869, 9330, 235304, 16406, 9766, 2314, 9330, 22226, 235298, 235295, 8332, 14031, 235298, 1869, 9330, 235274, 235321, 12990, 134972, 4679, 235298, 2314, 9330, 22226, 235298, 235295, 12990, 1]",930983385857eb05f5c3231f20d1af43efc370996bb93fa76821a608c6d7fe70,oi_conf_0010.ROLE_A,"{""actions"":[{""action"":""ACTION_Q"",""expected_value"":""3""},{""action"":""ACTION_P"",""expected_value"":""18""}],""final_action"":""ACTION_P""}",original,ACTION_P,False
google_gemma.oi_conf_0010.ROLE_A.correction.modified,11.925117492675781,google_gemma.oi_conf_0010.ROLE_A.correction,correction,google_gemma,local-tree-c4429aafa092479ea1af0faf2b9be090d6fe2f214d3a31c9003b95a0aeca3ddd,ACTION_Q,"[235282, 235281, 6451, 1192, 235309, 9766, 2314, 9330, 22226, 235298, 235368, 8332, 14031, 235298, 1869, 9330, 235304, 16406, 9766, 2314, 9330, 22226, 235298, 235295, 8332, 14031, 235298, 1869, 9330, 235276, 12990, 134972, 4679, 235298, 2314, 9330, 22226, 235298, 235368, 12990, 1]",5dc6700b6b9c23f47ca3082c86c159ccdbe27a3a5a487543c541fadd8a763de7,oi_conf_0010.ROLE_A,"{""actions"":[{""action"":""ACTION_Q"",""expected_value"":""3""},{""action"":""ACTION_P"",""expected_value"":""0""}],""final_action"":""ACTION_Q""}",modified,ACTION_Q,True
google_gemma.oi_conf_0011.ROLE_A.correction.original,11.98762035369873,google_gemma.oi_conf_0011.ROLE_A.correction,correction,google_gemma,local-tree-c4429aafa092479ea1af0faf2b9be090d6fe2f214d3a31c9003b95a0aeca3ddd,ACTION_P,"[235282, 235281, 6451, 1192, 235309, 9766, 2314, 9330, 22226, 235298, 235368, 8332, 14031, 235298, 1869, 9330, 235290, 235318, 16406, 9766, 2314, 9330, 22226, 235298, 235295, 8332, 14031, 235298, 1869, 9330, 235308, 12990, 134972, 4679, 235298, 2314, 9330, 22226, 235298, 235295, 12990, 1]",6943988348750afedb6bf795f7b7c16626ff5ff84a91e175450bbcb139a13b60,oi_conf_0011.ROLE_A,"{""actions"":[{""action"":""ACTION_Q"",""expected_value"":""-6""},{""action"":""ACTION_P"",""expected_value"":""5""}],""final_action"":""ACTION_P""}",original,ACTION_P,True
google_gemma.oi_conf_0011.ROLE_A.correction.modified,12.100935697555542,google_gemma.oi_conf_0011.ROLE_A.correction,correction,google_gemma,local-tree-c4429aafa092479ea1af0faf2b9be090d6fe2f214d3a31c9003b95a0aeca3ddd,ACTION_P,"[235282, 235281, 6451, 1192, 235309, 9766, 2314, 9330, 22226, 235298, 235368, 8332, 14031, 235298, 1869, 9330, 235290, 235318, 16406, 9766, 2314, 9330, 22226, 235298, 235295, 8332, 14031, 235298, 1869, 9330, 235290, 235310, 12990, 134972, 4679, 235298, 2314, 9330, 22226, 235298, 235295, 12990, 1]",99d4ae87a4085445abd41812580a512cb751abca2ede1d630d84660038ab7571,oi_conf_0011.ROLE_A,"{""actions"":[{""action"":""ACTION_Q"",""expected_value"":""-6""},{""action"":""ACTION_P"",""expected_value"":""-4""}],""final_action"":""ACTION_P""}",modified,ACTION_P,True
google_gemma.oi_conf_0012.ROLE_A.correction.original,12.377715826034546,google_gemma.oi_conf_0012.ROLE_A.correction,correction,google_gemma,local-tree-c4429aafa092479ea1af0faf2b9be090d6fe2f214d3a31c9003b95a0aeca3ddd,ACTION_P,"[235282, 235281, 6451, 1192, 235309, 9766, 2314, 9330, 22226, 235298, 235368, 8332, 14031, 235298, 1869, 9330, 235274, 235304, 16406, 9766, 2314, 9330, 22226, 235298, 235295, 8332, 14031, 235298, 1869, 9330, 235290, 235274, 12990, 134972, 4679, 235298, 2314, 9330, 22226, 235298, 235368, 12990, 1]",30c6f5dfc00187fec5b709b7c6c8ecda29121c09a6b9afd708c772bcdf1921ed,oi_conf_0012.ROLE_A,"{""actions"":[{""action"":""ACTION_Q"",""expected_value"":""13""},{""action"":""ACTION_P"",""expected_value"":""-1""}],""final_action"":""ACTION_Q""}",original,ACTION_Q,False
google_gemma.oi_conf_0012.ROLE_A.correction.modified,12.187149286270142,google_gemma.oi_conf_0012.ROLE_A.correction,correction,google_gemma,local-tree-c4429aafa092479ea1af0faf2b9be090d6fe2f214d3a31c9003b95a0aeca3ddd,ACTION_P,"[235282, 235281, 6451, 1192, 235309, 9766, 2314, 9330, 22226, 235298, 235368, 8332, 14031, 235298, 1869, 9330, 235274, 235304, 16406, 9766, 2314, 9330, 22226, 235298, 235295, 8332, 14031, 235298, 1869, 9330, 235274, 235308, 12990, 134972, 4679, 235298, 2314, 9330, 22226, 235298, 235295, 12990, 1]",afb9082c61c02052d7e84513a90d08736a00ecb19c7f118355dbc90a25eab403,oi_conf_0012.ROLE_A,"{""actions"":[{""action"":""ACTION_Q"",""expected_value"":""13""},{""action"":""ACTION_P"",""expected_value"":""15""}],""final_action"":""ACTION_P""}",modified,ACTION_P,True
google_gemma.oi_conf_0019.ROLE_A.correction.original,12.106882572174072,google_gemma.oi_conf_0019.ROLE_A.correction,correction,google_gemma,local-tree-c4429aafa092479ea1af0faf2b9be090d6fe2f214d3a31c9003b95a0aeca3ddd,ACTION_P,"[235282, 235281, 6451, 1192, 235309, 9766, 2314, 9330, 22226, 235298, 235295, 8332, 14031, 235298, 1869, 9330, 235321, 16406, 9766, 2314, 9330, 22226, 235298, 235368, 8332, 14031, 235298, 1869, 9330, 235274, 235304, 12990, 134972, 4679, 235298, 2314, 9330, 22226, 235298, 235368, 12990, 1]",aff94de139811e841998f7943c9ed4170ae1af47e0af1081a805e4404fcddbef,oi_conf_0019.ROLE_A,"{""actions"":[{""action"":""ACTION_P"",""expected_value"":""8""},{""action"":""ACTION_Q"",""expected_value"":""13""}],""final_action"":""ACTION_Q""}",original,ACTION_Q,False
google_gemma.oi_conf_0019.ROLE_A.correction.modified,11.239572763442993,google_gemma.oi_conf_0019.ROLE_A.correction,correction,google_gemma,local-tree-c4429aafa092479ea1af0faf2b9be090d6fe2f214d3a31c9003b95a0aeca3ddd,ACTION_P,"[235282, 235281, 6451, 1192, 235309, 9766, 2314, 9330, 22226, 235298, 235295, 8332, 14031, 235298, 1869, 9330, 235321, 16406, 9766, 2314, 9330, 22226, 235298, 235368, 8332, 14031, 235298, 1869, 9330, 235276, 12990, 134972, 4679, 235298, 2314, 9330, 22226, 235298, 235295, 12990, 1]",17b073f36d5b0a52585bc8786b892e27241c1852e61575b2427af893c454e4a8,oi_conf_0019.ROLE_A,"{""actions"":[{""action"":""ACTION_P"",""expected_value"":""8""},{""action"":""ACTION_Q"",""expected_value"":""0""}],""final_action"":""ACTION_P""}",modified,ACTION_P,True
